Topic,ID,Title,Difficulty,LeetCode,GFG,Video
Strings,str-7,Longest Substring Without Repeating Characters,Easy,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,https://youtu.be/-zSxTJkcdAo?si=4_WtSIH7S_gqN9Zv
Strings,str-8,Valid Parentheses,Easy,https://leetcode.com/problems/valid-parentheses/,,https://youtu.be/cHT6sG_hUZI?si=pOalE3_ts7VNHQEm
Strings,str-9,String to Integer (atoi),Easy,https://leetcode.com/problems/string-to-integer-atoi/,,https://youtu.be/2I9XO8jwZCA?si=eYxjSdnEWx5p0Kys
Strings,str-10,Longest Palindromic Substring,Medium,https://leetcode.com/problems/longest-palindromic-substring/,,https://youtu.be/XYQecbcd6_c?si=trDF5TB2-NbnCbiL
Strings,str-11,Roman to Integer,Medium,https://leetcode.com/problems/roman-to-integer/,,https://youtu.be/3jdxYj3DD98?si=MCkGMI2pVT10EDwn
Strings,str-12,Minimum Add to Make Parentheses Valid,Medium,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,,https://youtu.be/UizI7R6ND9Q?si=GwZ2UzCb5w0trRA7
Strings,str-13,Sum of Beauty of All Substrings,Medium,https://leetcode.com/problems/sum-of-beauty-of-all-substrings/,,https://youtu.be/PqxmZk_bdyw?si=c_NHBQNwP-Gvzwlu
Strings,str-14,Valid Palindrome II,Medium,https://leetcode.com/problems/valid-palindrome-ii/,,https://youtu.be/JrxRYBwG6EI?si=ZWniHz2tck5OH3ft
Strings,str-15,String Rotated by 2 places,Medium,,https://www.geeksforgeeks.org/problems/check-if-string-is-rotated-by-two-places-1587115620/1,https://youtu.be/S4arTLcCp6I?si=H1VDQ9An1OGmcTKn
Strings,str-16,Regular Expression Matching,Medium,https://leetcode.com/problems/regular-expression-matching/,,https://youtu.be/HAA8mgxlov8?si=xOQbtqZ9N1Fl9Hbu
Strings,str-17,Longest Valid Parentheses,Medium,https://leetcode.com/problems/longest-valid-parentheses/,,https://youtu.be/VdQuwtEd10M?si=RVcPBeJSsmyeEluk
Strings,str-18,Wildcard Matching,Medium,https://leetcode.com/problems/wildcard-matching/,,https://youtu.be/ZmlQ3vgAOMo?si=RVvVYR53og_4GGwp
Strings,str-19,Shortest Uncommon Substring in an Array,Medium,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array/description/,,https://youtu.be/9rBWAbpPJvw?si=bD__31ZOmsPhkQrJ
Strings,str-20,Special Binary String,Medium,https://leetcode.com/problems/special-binary-string/,,https://youtu.be/-Ru17k4TCI4?si=s2SmXxnypmLfsH_Z
Stacks,stk-1,Min Stack,Medium,https://leetcode.com/problems/min-stack/,,https://youtu.be/qkLl7nAwDPo?si=7rlyGjGcjLRzI5ZY
Stacks,stk-2,Implement Queue using Stack,Easy,,https://www.geeksforgeeks.org/queue-using-stacks/,https://youtu.be/xxytjNGFsdQ?si=iW_uLKPuvAeYYdsy
Stacks,stk-3,Implement Two Stacks using an Array,Medium,,https://www.geeksforgeeks.org/dsa/implement-two-stacks-in-an-array/,https://youtu.be/cJgVdvWz4iU?si=5Bfgu1rrXQINeHns
Stacks,stk-4,Implement Three Stacks using a Single Array,Medium,,,https://youtu.be/S5cYO9k1Ja8?si=nGDH6oxx-l0zr9at
Stacks,stk-5,Check if Stack is Valid given Push/Pop Operations,Medium,,https://www.geeksforgeeks.org/check-if-the-given-push-and-pop-sequences-of-stack-is-valid-or-not/,https://youtu.be/mzua0r94kb8?si=67ki6BVDfU94oH4l
Stacks,stk-6,Undo-Redo Operations (Validate Stack Sequences),Medium,https://leetcode.com/problems/validate-stack-sequences/description,,https://youtu.be/mzua0r94kb8?si=91gXIR_9Uhjra4ZP
Stacks,stk-7,Asteroid Collision,Medium,https://leetcode.com/problems/asteroid-collision/description/,,https://youtu.be/LN7KjRszjk4?si=9hR6HNOrQH9wZFRC
Stacks,stk-8,Remove Stars From a String,Medium,https://leetcode.com/problems/removing-stars-from-a-string/,,https://youtu.be/ixz709f7oh8?si=MMG4Gx_2_RtVS63E
Stacks,stk-9,Implement Stack using Queue,Easy,https://leetcode.com/problems/implement-stack-using-queues/description/,,https://youtu.be/rW4vm0-DLYc?si=S9Jf3cKBVHeKZt8L
Stacks,stk-10,Stack with Min/Max Operations,Medium,,,
Stacks,stk-11,Final Prices With a Special Discount in a Shop,Easy,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/description/,,https://youtu.be/BYushAxaQOg?si=Z5XuypBQWAxuT4PS
Stacks,stk-12,Restrictive Candy Crush (Remove All Adjacent Duplicates II),Medium,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/description/,,https://youtu.be/6rBdWEZJtSM?si=JoRiOXjQgw-MhMek
Stacks,str-8,Valid Parentheses,Easy,https://leetcode.com/problems/valid-parentheses/,,https://youtu.be/WTzjTskDFMg?si=MRyPVrjPqtqROYBg
Stacks,stk-13,Maximal Rectangle,Hard,https://leetcode.com/problems/maximal-rectangle/description,,https://youtu.be/dAVF2NpC3j4?si=IslCsbZTZdTF9eoL
Stacks,stk-14,Daily Temperatures,Medium,https://leetcode.com/problems/daily-temperatures/description,,https://youtu.be/cTBiBSnjO3c?si=Jvj99qq0KrwsKYTY
Stacks,stk-15,Next Greater Element I,Easy,https://leetcode.com/problems/next-greater-element-i,,https://youtu.be/68a1Dc_qVq4?si=I4M1FhDR3IR2U-Mi
Stacks,stk-16,Basic Calculator,Hard,https://leetcode.com/problems/basic-calculator/description,,https://youtu.be/zsJ-J08Qgdk?si=_IG27Su4aldAtkqb
Stacks,stk-17,Backspace String Compare,Easy,https://leetcode.com/problems/backspace-string-compare/description,,https://youtu.be/nxo_4FzXLxU?si=pg7c6tZLa5pMmjbi
Stacks,stk-18,Basic Calculator II,Medium,https://leetcode.com/problems/basic-calculator-ii/description,,https://youtu.be/RcL4RqtgaRU?si=9CYEoD4QppqrZpXL
Queues,que-1,Implement Queue using Two Stacks,Easy,https://leetcode.com/problems/implement-queue-using-stacks/description/,,https://youtu.be/xxytjNGFsdQ?si=SUNSY1OOwA0XgUUJ
Queues,que-2,Reverse a Queue,Easy,,https://www.geeksforgeeks.org/problems/queue-reversal/1,https://youtu.be/aUU23JDaErs?si=YqZNNTBwvHDY2jwD
Queues,que-3,Design Circular Queue,Medium,https://leetcode.com/problems/design-circular-queue/description,,https://youtu.be/Q2YhZ6Pq0GQ?si=MB-CiVJEWFJao60_
Queues,que-4,Maximum Sum Circular Subarray,Medium,https://leetcode.com/problems/maximum-sum-circular-subarray/description,,https://youtu.be/fxT9KjakYPM?si=abplLyf3j7hviPAk
Queues,que-5,Number of Recent Calls,Easy,https://leetcode.com/problems/number-of-recent-calls/description,,https://youtu.be/HlmNEfcgyjM?si=-k3tUmFnfY9BZ7h3
Queues,que-6,Number of Students Unable to Eat Lunch,Easy,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/description,,https://youtu.be/d_cvtFwnOZg?si=lKOr8ZDTJNmrrcVD
Queues,que-7,Time Needed to Buy Tickets,Easy,https://leetcode.com/problems/time-needed-to-buy-tickets,,https://youtu.be/cVmS9N6kf2Y?si=JPiWESDrpjfD6fwP
Queues,que-8,Number of People Aware of a Secret,Medium,https://leetcode.com/problems/number-of-people-aware-of-a-secret/description,,https://youtu.be/V7QVZY84KQ8?si=zVzSdoEyU6NbUpSx
Queues,que-9,Design Circular Deque,Medium,https://leetcode.com/problems/design-circular-deque/description,,https://youtu.be/J4mk0tbIi8w?si=xsqZX3fItAD54OCf
Heap,heap-1,Implement Min Heap (from scratch),Easy,,https://www.geeksforgeeks.org/problems/min-heap-implementation/1,https://www.youtube.com/watch?v=Qf-TDPr0nYw
Heap,heap-2,Kth Largest Element in a Stream,Easy,https://leetcode.com/problems/kth-largest-element-in-a-stream/,,https://www.youtube.com/watch?v=hOjcdrqMoQ8
Heap,heap-3,Last Stone Weight,Easy,https://leetcode.com/problems/last-stone-weight/,,https://www.youtube.com/watch?v=B-QCq79-Vfw
Heap,arr-16,Kth Largest Element in an Array,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/,,https://www.youtube.com/watch?v=XEmy13g1Qxc
Heap,heap-5,K Closest Points to Origin,Medium,https://leetcode.com/problems/k-closest-points-to-origin/,,https://www.youtube.com/watch?v=rI2EBUEMfTk
Heap,heap-6,Top K Frequent Elements,Medium,https://leetcode.com/problems/top-k-frequent-elements/,,https://www.youtube.com/watch?v=Wh3A29psE_Y
Heap,heap-7,Sort Characters by Frequency,Medium,https://leetcode.com/problems/sort-characters-by-frequency/,,https://www.youtube.com/watch?v=OXdXc9HTrIg
Heap,heap-8,Reorganize String,Medium,https://leetcode.com/problems/reorganize-string/,,https://www.youtube.com/watch?v=2g_b1aYTHeg
Heap,heap-9,Task Scheduler,Medium,https://leetcode.com/problems/task-scheduler/,,https://www.youtube.com/watch?v=s8p8ukTyA2I
Heap,heap-10,Find K Pairs with Smallest Sums,Medium,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,,https://www.youtube.com/watch?v=Youk8DDnLU8
Heap,heap-11,Maximum Subsequence Score,Medium,https://leetcode.com/problems/maximum-subsequence-score/,,https://www.youtube.com/watch?v=ax1DKi5lJwk
Heap,heap-12,Seat Reservation Manager,Medium,https://leetcode.com/problems/seat-reservation-manager/,,https://youtu.be/ahobllKXEEY?si=U64xUFYld_CfJdbq
Heap,heap-13,Furthest Building You Can Reach,Medium,https://leetcode.com/problems/furthest-building-you-can-reach/,,https://www.youtube.com/watch?v=zyTeznvXCtg
Heap,heap-14,Find Median from Data Stream,Hard,https://leetcode.com/problems/find-median-from-data-stream/,,https://www.youtube.com/watch?v=itmhHWaHupI
Heap,heap-15,Merge K Sorted Lists,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,,https://www.youtube.com/watch?v=ptYUCjfNhJY
Heap,heap-16,Sliding Window Median,Hard,https://leetcode.com/problems/sliding-window-median/,,https://www.youtube.com/watch?v=oKwmSnmEFpY
Heap,heap-17,Maximum Frequency Stack,Hard,https://leetcode.com/problems/maximum-frequency-stack/,,https://www.youtube.com/watch?v=Z6idIicFDOE
Heap,heap-18,Minimum Cost to Hire K Workers,Hard,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/,,https://www.youtube.com/watch?v=f879mUH6vJk
Recursion & Backtracking,rec-1,Fibonacci Number,Easy,https://leetcode.com/problems/fibonacci-number/,,https://www.youtube.com/watch?v=tyB0ztf0DNY
Recursion & Backtracking,rec-2,Climbing Stairs,Easy,https://leetcode.com/problems/climbing-stairs/,,https://www.youtube.com/watch?v=Y0lT9Fck7qI
Recursion & Backtracking,rec-3,Tower of Hanoi,Easy,,https://www.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1,https://www.youtube.com/watch?v=rf6uf3jNjbo
Recursion & Backtracking,rec-4,Subsets II,Medium,https://leetcode.com/problems/subsets-ii/,,https://www.youtube.com/watch?v=RIn3gOkbhQE
Recursion & Backtracking,rec-5,Permutations,Medium,https://leetcode.com/problems/permutations/,,https://www.youtube.com/watch?v=YK78FU5Ffjw
Recursion & Backtracking,rec-6,Permutations II (Distinct Perms with Duplicates),Medium,https://leetcode.com/problems/permutations-ii/,,https://www.youtube.com/watch?v=is_T6uzlTyg
Recursion & Backtracking,rec-7,Combination Sum,Medium,https://leetcode.com/problems/combination-sum/,,https://www.youtube.com/watch?v=OyZFFqQtu98
Recursion & Backtracking,rec-8,Combination Sum II,Medium,https://leetcode.com/problems/combination-sum-ii/,,https://www.youtube.com/watch?v=G1fRTGRxXU8
Recursion & Backtracking,rec-9,Generate Parentheses,Medium,https://leetcode.com/problems/generate-parentheses/,,https://www.youtube.com/watch?v=eyCj_u3PoJE
Recursion & Backtracking,rec-10,Letter Combinations of a Phone Number,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,,https://www.youtube.com/watch?v=0snEunUacZY
Recursion & Backtracking,rec-11,Target Sum,Medium,https://leetcode.com/problems/target-sum/,,https://www.youtube.com/watch?v=g0npyaQtAQM
Recursion & Backtracking,rec-12,Partition Equal Subset Sum,Medium,https://leetcode.com/problems/partition-equal-subset-sum/,,https://www.youtube.com/watch?v=7win3dcgo3k
