,,Graphs,,,
2,Merge sort,Easy,https://www.geeksforgeeks.org/problems/merge-sort/1,lot,https://youtu.be/4VqmGXwpLqc?si=MRqI9-1t3O_mcY0B
3,Bubble sort,Easy,https://www.geeksforgeeks.org/problems/bubble-sort/1,lot,https://youtu.be/xli_FI7CuzA?si=oh8_LyL6ZFJ_5uF6
4,Insertion sort,Easy,https://www.geeksforgeeks.org/problems/insertion-sort/1,lot,https://youtu.be/JU767SDMDvA?si=nzOld8-2URgQAJq0
5,Selection sort,Easy,https://www.geeksforgeeks.org/problems/selection-sort/1,lot,https://youtu.be/9oWd4VJOwr0?si=zmKvTFPhiXwiL1jR
6,Sort an array,Easy,https://leetcode.com/problems/sort-an-array/description/, ,https://youtu.be/4VqmGXwpLqc?si=MRqI9-1t3O_mcY0B
7,Sort array by parity,Easy,https://leetcode.com/problems/sort-array-by-parity/description,wellsFargo,https://youtu.be/QC4c9fyr8As?si=l7jCOWy1PuJQtL3p
8,Sort integers by number of 1 bits,Easy,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits/description/,bny,https://youtu.be/mzw8UjjQRyA?si=LVMWKm-JCOv4evBT
9,Count 1's in a sorted binary array,Easy,https://www.geeksforgeeks.org/dsa/count-1s-sorted-binary-array/, ,https://youtu.be/EoO9c9UOyww?si=98BOvEigpN_CQnPg
10,Check if array is sorted and rotated,Easy,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/,Chronous,https://youtu.be/Vzs_vlCIFEw?si=U76rblXEocyxcrAH
11,Sort array by increasing frequency,Easy,https://leetcode.com/problems/sort-array-by-increasing-frequency/description/,natwest,https://youtu.be/Evq1SfUbhBg?si=bJFbSkOsbvH4mrWw
12,Sort colors,Medium,https://leetcode.com/problems/sort-colors/description/,"DE Shaw ,vegrow",https://youtu.be/4xbWSRZHqac?si=YG68MRmemVdzCEj2
13,Sort list,Medium,https://leetcode.com/problems/sort-list/description, ,https://youtu.be/TGveA1oFhrc?si=dHw-pu9htPYSU4Br
14,Sort characters by frequency,Medium,https://leetcode.com/problems/sort-characters-by-frequency/description, ,https://youtu.be/OXdXc9HTrIg?si=188Te8vDyFRWcoaw
15,Insertion sort list,Medium,https://leetcode.com/problems/insertion-sort-list, ,https://youtu.be/Kk6mXAzqX3Y?si=tUWRm9HP7LquInQ2
16,Heap sort,Medium,https://www.geeksforgeeks.org/problems/heap-sort/1,lot,https://youtu.be/2DmK_H7IdTo?si=yJsXdCM7YM_IC9F3
17,Counting sort,Medium,https://www.geeksforgeeks.org/dsa/counting-sort/,lot,https://youtu.be/OKd534EWcdk?si=dYEAStX_7FCAlW7e
18,Sort array by parity II,Medium,https://leetcode.com/problems/sort-array-by-parity-ii/description/?envType=problem-list-v2&envId=sorting, ,https://youtu.be/pHRFRZGbK5s?si=_D8LitDT5PQMucJi
19,Sort an array of Roman Numerals in ascending order,Medium,https://www.geeksforgeeks.org/dsa/sort-an-array-of-roman-numerals-in-ascending-order/,kla tencor,
20,Radix sort,Medium,https://www.geeksforgeeks.org/problems/radix-sort/1,lot,https://youtu.be/M2cCN7Gzl9U?si=vD37xP4okdKSTyEq
21,Count sorted rows,Medium,https://www.geeksforgeeks.org/problems/count-sorted-rows2702/1, ,
